                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7255,                 21.227,                 2.8478,                0.22242,                0.10968,                 0.1045,                0.06071,                 1.6262,                 2.0072,                 1.3088,              0.0033276,              0.0033276,              0.0033276
                      2,                 1.4587,                 3.4976,                 1.1284,                0.20301,                0.16861,                0.18773,                 0.1424,                0.92757,                0.89973,                0.94927,              0.0066605,              0.0066605,              0.0066605
                      3,                 1.1749,                 1.6845,                 1.0063,                0.20322,                0.17689,                0.19298,                 0.1532,                0.81706,                0.88987,                 0.9049,              0.0099918,              0.0099918,              0.0099918
                      4,                0.97201,                0.87504,                0.93904,                0.20871,                0.19023,                0.20284,                0.16941,                 0.6726,                0.56269,                0.86167,              0.0099945,              0.0099945,              0.0099945
                      5,                0.81717,                0.63749,                0.89568,                0.27174,                0.18314,                0.20088,                0.17027,                0.63883,                0.58719,                0.85633,              0.0099945,              0.0099945,              0.0099945
                      6,                 0.7638,                0.57596,                0.87952,                 0.2424,                0.19392,                0.20783,                0.17808,                 0.5806,                0.44097,                0.83324,              0.0099902,              0.0099902,              0.0099902
                      7,                0.71356,                0.51803,                0.86704,                0.27371,                0.19863,                0.20996,                0.18335,                0.52369,                0.40049,                0.82592,              0.0099847,              0.0099847,              0.0099847
                      8,                0.68962,                0.49648,                0.86174,                0.24341,                 0.2003,                0.21078,                0.18568,                0.50257,                0.38628,                0.81448,               0.009978,               0.009978,               0.009978
                      9,                0.66922,                0.47542,                0.85811,                0.24429,                0.19926,                 0.2112,                 0.1859,                0.51267,                0.36662,                0.82187,              0.0099701,              0.0099701,              0.0099701
                     10,                0.65142,                0.46397,                 0.8491,                0.35703,                0.19976,                0.21255,                0.18844,                0.48245,                  0.362,                0.81259,               0.009961,               0.009961,               0.009961
                     11,                0.64234,                0.45692,                0.84706,                0.93909,                0.20118,                 0.2186,                0.18994,                0.46257,                0.34419,                0.80622,              0.0099506,              0.0099506,              0.0099506
                     12,                0.63833,                0.45345,                0.84851,                0.96741,                0.20115,                 0.2223,                0.19332,                0.46402,                0.34728,                0.80911,              0.0099391,              0.0099391,              0.0099391
                     13,                0.62342,                0.43895,                0.84099,                0.96753,                 0.2001,                0.22181,                0.19258,                0.46904,                0.34612,                0.81008,              0.0099263,              0.0099263,              0.0099263
                     14,                0.60579,                0.42794,                0.83694,                 0.9948,                0.20038,                0.22229,                0.19675,                0.43191,                0.33059,                0.80087,              0.0099123,              0.0099123,              0.0099123
                     15,                0.57065,                0.41818,                0.83241,                0.99438,                0.20247,                0.22466,                0.20059,                0.40142,                0.31851,                0.79383,              0.0098972,              0.0098972,              0.0098972
                     16,                0.55587,                  0.413,                0.82927,                0.99669,                 0.2021,                0.22582,                0.20138,                0.39177,                0.30748,                0.79402,              0.0098808,              0.0098808,              0.0098808
                     17,                0.53927,                0.39678,                 0.8237,                 0.9933,                0.20506,                0.22504,                0.20211,                0.38448,                0.30022,                0.79484,              0.0098632,              0.0098632,              0.0098632
                     18,                0.53229,                0.38968,                0.82287,                0.99439,                0.20399,                0.22659,                0.20406,                0.37377,                0.29406,                0.79238,              0.0098445,              0.0098445,              0.0098445
                     19,                0.53122,                 0.3878,                0.82491,                0.99639,                0.20325,                0.22562,                0.20395,                0.36712,                0.28578,                0.79059,              0.0098246,              0.0098246,              0.0098246
                     20,                0.52715,                0.39279,                0.82185,                 0.9958,                0.20306,                 0.2262,                0.20368,                0.37146,                0.29328,                0.79127,              0.0098035,              0.0098035,              0.0098035
                     21,                0.52788,                0.39744,                 0.8234,                0.99433,                0.20331,                0.22846,                0.20503,                0.39508,                0.33033,                0.79538,              0.0097812,              0.0097812,              0.0097812
                     22,                0.54105,                0.41487,                0.82475,                0.99452,                0.20575,                0.23069,                0.20605,                 0.4207,                0.36382,                0.79996,              0.0097577,              0.0097577,              0.0097577
                     23,                0.54701,                0.43119,                0.82384,                0.99469,                0.20462,                0.23371,                0.20752,                0.42017,                0.37002,                0.79644,              0.0097331,              0.0097331,              0.0097331
                     24,                0.54905,                0.43845,                0.82213,                0.99583,                0.20406,                0.23522,                 0.2097,                0.41133,                0.36402,                0.79454,              0.0097074,              0.0097074,              0.0097074
                     25,                0.55087,                0.43897,                0.82134,                0.99427,                 0.2059,                0.23494,                0.21065,                 0.4096,                0.37531,                0.79337,              0.0096804,              0.0096804,              0.0096804
                     26,                0.55325,                0.44313,                0.82086,                0.99488,                 0.2064,                0.23458,                0.21095,                0.40494,                 0.3675,                0.79254,              0.0096524,              0.0096524,              0.0096524
                     27,                0.54461,                 0.4398,                0.81958,                0.99517,                0.20644,                0.23553,                  0.212,                0.40026,                0.36776,                0.79045,              0.0096232,              0.0096232,              0.0096232
                     28,                0.54446,                0.43669,                0.81962,                0.99603,                0.20516,                0.23643,                0.21243,                0.40588,                0.37107,                0.79104,              0.0095929,              0.0095929,              0.0095929
                     29,                  0.546,                 0.4407,                0.81933,                0.99551,                0.20693,                0.23632,                0.21145,                0.40855,                0.37226,                0.79149,              0.0095614,              0.0095614,              0.0095614
                     30,                0.54618,                0.44623,                0.81782,                0.99492,                0.20618,                0.23689,                0.21292,                0.40437,                0.37473,                0.79084,              0.0095289,              0.0095289,              0.0095289
                     31,                0.53874,                0.44234,                0.82053,                0.99592,                  0.205,                0.23648,                0.21253,                0.40039,                0.36667,                0.79047,              0.0094952,              0.0094952,              0.0094952
