                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6183,                  18.56,                 2.5837,                0.11046,                0.08252,                 0.0714,                0.03944,                 2.0017,                 2.2104,                 1.4911,              0.0033304,              0.0033304,              0.0033304
                      2,                 1.9099,                 3.0348,                 1.3451,                0.14573,                0.11775,                0.12051,                0.08358,                 1.3066,                 1.3548,                   1.15,              0.0066621,              0.0066621,              0.0066621
                      3,                 1.6216,                 1.7517,                 1.2108,                0.19429,                0.13031,                0.13273,                0.09315,                  1.253,                 1.2645,                 1.1081,              0.0099873,              0.0099873,              0.0099873
                      4,                 1.4303,                 1.4378,                 1.1252,                0.19667,                0.13416,                0.13617,                0.10117,                 1.1174,                 1.1159,                 1.0405,               0.009978,               0.009978,               0.009978
                      5,                 1.3026,                 1.2977,                 1.0675,                0.86946,                0.14379,                0.15024,                0.11145,                 1.0402,                 1.0482,                 1.0034,               0.009978,               0.009978,               0.009978
                      6,                  1.232,                 1.2404,                 1.0376,                0.95593,                0.14778,                0.15658,                0.11644,                 1.0093,                 1.0153,                0.98949,               0.009961,               0.009961,               0.009961
                      7,                 1.1844,                 1.1853,                 1.0141,                0.96087,                0.15096,                0.16277,                0.12452,                0.94292,                0.94745,                0.95724,              0.0099391,              0.0099391,              0.0099391
                      8,                 1.1644,                 1.1733,                 1.0046,                0.95519,                0.15454,                0.16506,                0.12724,                0.91328,                 0.9307,                0.94628,              0.0099123,              0.0099123,              0.0099123
                      9,                 1.1316,                  1.133,                0.99141,                0.95926,                0.15452,                0.16558,                0.12719,                0.90183,                0.93632,                 0.9373,              0.0098808,              0.0098808,              0.0098808
                     10,                 1.1007,                 1.0998,                0.97873,                0.95655,                0.15841,                0.16853,                0.13211,                0.85586,                0.90289,                0.92213,              0.0098445,              0.0098445,              0.0098445
                     11,                 1.0813,                 1.0832,                0.97263,                0.95955,                 0.1583,                0.16954,                0.13218,                0.84992,                0.88969,                 0.9178,              0.0098035,              0.0098035,              0.0098035
                     12,                 1.0518,                 1.0635,                0.96306,                 0.9593,                0.16006,                0.17186,                0.13645,                0.81091,                0.86208,                0.90831,              0.0097577,              0.0097577,              0.0097577
                     13,                 1.0296,                 1.0555,                0.95852,                0.96076,                0.16125,                0.17213,                 0.1368,                  0.809,                0.85351,                0.90694,              0.0097074,              0.0097074,              0.0097074
                     14,                 1.0142,                  1.042,                0.95159,                0.96276,                0.16044,                 0.1739,                0.13913,                0.79333,                 0.8576,                0.90202,              0.0096524,              0.0096524,              0.0096524
                     15,                 1.0016,                 1.0407,                0.94829,                0.96267,                0.16046,                0.17541,                0.14115,                0.76461,                0.84456,                0.89524,              0.0095929,              0.0095929,              0.0095929
