                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0101,                 4.7152,                 4.1875,                0.00084,                0.02778,                0.00654,                0.00285,                 2.3643,                 2.6013,                 3.9708,             8.0772e-05,             8.0772e-05,             8.0772e-05
                      2,                 2.9491,                  3.508,                 3.8838,                0.00031,                0.02586,                0.00031,                0.00015,                 2.3966,                 4.2736,                 3.6684,             0.00016207,             0.00016207,             0.00016207
                      3,                  2.707,                 2.8993,                 3.4542,                0.00858,                0.00825,                0.00602,                0.00231,                 2.2745,                 2.4843,                 3.3042,              0.0002432,              0.0002432,              0.0002432
                      4,                 2.0298,                  2.378,                 2.8269,                0.01917,                0.01251,                0.01303,                0.01001,                 1.3455,                 2.0429,                 2.1436,             0.00024346,             0.00024346,             0.00024346
                      5,                 1.4631,                 1.8335,                 2.2544,                0.02182,                0.01636,                0.02106,                0.01461,                0.98022,                 1.3825,                 1.5666,             0.00024346,             0.00024346,             0.00024346
                      6,                  1.119,                 1.4454,                 1.8723,                0.00591,                0.00843,                0.00522,                0.00349,                 1.3903,                  2.351,                 1.9328,             0.00024305,             0.00024305,             0.00024305
                      7,                 0.9479,                 1.1956,                 1.6632,                0.00321,                0.00951,                0.00423,                0.00246,                 1.6302,                 2.4931,                 2.0181,             0.00024251,             0.00024251,             0.00024251
                      8,                0.83654,                 1.0502,                 1.5422,                0.00878,                0.01514,                0.00834,                0.00599,                 1.2913,                 1.9291,                 1.5353,             0.00024186,             0.00024186,             0.00024186
                      9,                0.77145,                0.94747,                 1.4566,                0.02668,                0.02618,                0.02739,                0.02346,                0.80685,                 1.0339,                 1.0897,             0.00024109,             0.00024109,             0.00024109
                     10,                 0.7122,                0.88228,                 1.3921,                0.02713,                0.02658,                0.02749,                0.02502,                0.60711,                0.89766,                0.96421,             0.00024021,             0.00024021,             0.00024021
                     11,                0.65878,                0.78997,                 1.3296,                0.02646,                0.02605,                0.02739,                0.02517,                0.58024,                0.97665,                 0.9184,              0.0002392,              0.0002392,              0.0002392
                     12,                0.61572,                 0.7392,                 1.2876,                0.02735,                0.02733,                 0.0276,                0.02666,                0.49571,                0.71263,                0.85407,             0.00023809,             0.00023809,             0.00023809
                     13,                0.57421,                0.69255,                  1.249,                0.02506,                0.01462,                0.02065,                0.01792,                0.80833,                 1.0083,                 1.0953,             0.00023686,             0.00023686,             0.00023686
                     14,                0.54402,                 0.6557,                 1.2241,                0.02729,                0.02688,                 0.0276,                0.02435,                0.62128,                0.66265,                0.94462,             0.00023552,             0.00023552,             0.00023552
                     15,                0.51233,                0.60304,                 1.1837,                0.02732,                 0.0264,                0.02757,                0.02683,                0.44014,                 0.6276,                0.76655,             0.00023407,             0.00023407,             0.00023407
                     16,                0.50131,                0.58833,                 1.1709,                 0.0269,                0.02682,                 0.0275,                0.02534,                0.51135,                0.66263,                0.82417,             0.00023251,             0.00023251,             0.00023251
                     17,                0.47712,                0.56095,                 1.1533,                0.02615,                0.02625,                0.02735,                0.02474,                 0.5307,                0.66805,                0.82319,             0.00023084,             0.00023084,             0.00023084
                     18,                0.46531,                0.53369,                 1.1329,                0.02627,                0.02612,                 0.0273,                0.02311,                 0.6434,                 0.7742,                0.90205,             0.00022906,             0.00022906,             0.00022906
                     19,                0.44624,                0.52433,                 1.1234,                0.02745,                0.02676,                0.02759,                0.02674,                 0.4025,                0.55326,                0.75168,             0.00022718,             0.00022718,             0.00022718
                     20,                0.43364,                0.50287,                 1.1123,                0.02328,                0.02529,                0.02631,                0.02361,                0.52226,                0.71007,                0.80011,              0.0002252,              0.0002252,              0.0002252
                     21,                0.41875,                0.48229,                 1.0993,                 0.0274,                0.02752,                0.02762,                0.02663,                0.40073,                0.50198,                0.68601,             0.00022311,             0.00022311,             0.00022311
