                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2069,                 1.3408,                 1.0386,                0.96016,                0.16759,                 0.1868,                0.14521,                0.89183,                0.98544,                0.97545,              0.0075698,              0.0075698,              0.0075698
                     36,                 1.1918,                  1.245,                 1.0373,                0.96139,                0.16821,                0.18571,                0.14529,                0.88474,                0.98383,                0.96977,              0.0074347,              0.0074347,              0.0074347
                     37,                  1.151,                 1.3096,                 1.0211,                0.96083,                0.16538,                0.18384,                 0.1426,                0.93138,                0.99224,                0.98823,              0.0072973,              0.0072973,              0.0072973
                     38,                 1.1553,                 1.2984,                 1.0295,                0.95916,                0.16965,                0.18625,                0.14746,                0.88657,                 0.9716,                0.96897,              0.0071576,              0.0071576,              0.0071576
                     39,                 1.1733,                 1.3327,                 1.0335,                0.95533,                0.17137,                0.18859,                0.14873,                0.87325,                0.97759,                0.96983,              0.0070159,              0.0070159,              0.0070159
                     40,                  1.159,                  1.298,                 1.0073,                0.96112,                0.16871,                 0.1874,                  0.148,                0.86309,                0.96127,                0.96065,              0.0068722,              0.0068722,              0.0068722
                     41,                 1.1545,                 1.3099,                 1.0376,                0.95906,                0.16971,                0.19676,                0.15486,                0.83688,                0.94877,                0.95621,              0.0067268,              0.0067268,              0.0067268
                     42,                 1.1314,                 1.2326,                 1.0153,                0.95511,                0.17159,                0.19035,                0.15051,                0.85718,                0.95561,                0.96063,              0.0065796,              0.0065796,              0.0065796
                     43,                 1.1446,                 1.2887,                 1.0139,                0.95846,                0.17106,                 0.1891,                0.14778,                0.88065,                0.96686,                0.96402,               0.006431,               0.006431,               0.006431
                     44,                 1.1192,                 1.2461,                  1.011,                0.95805,                0.17098,                 0.1887,                0.14898,                0.86349,                 0.9551,                0.96084,               0.006281,               0.006281,               0.006281
                     45,                 1.1225,                 1.2595,                 1.0143,                0.96067,                0.17049,                0.18889,                0.14874,                0.85677,                0.93606,                 0.9541,              0.0061298,              0.0061298,              0.0061298
                     46,                 1.1095,                 1.2519,                 1.0046,                0.95801,                0.17441,                0.18924,                0.14774,                0.86279,                0.94177,                0.95517,              0.0059775,              0.0059775,              0.0059775
                     47,                 1.1092,                 1.2281,                 1.0059,                0.95766,                0.17265,                0.19275,                 0.1487,                0.86649,                0.93443,                 0.9596,              0.0058244,              0.0058244,              0.0058244
                     48,                 1.1331,                   1.33,                 1.0191,                0.96072,                0.17072,                0.19448,                0.15171,                0.83357,                0.90987,                0.94743,              0.0056704,              0.0056704,              0.0056704
                     49,                 1.0888,                 1.2432,                0.99022,                0.95913,                 0.1731,                0.19289,                0.15301,                0.81918,                0.92121,                 0.9438,              0.0055158,              0.0055158,              0.0055158
                     50,                 1.0485,                 1.2171,                0.97998,                0.95559,                0.17567,                 0.1965,                0.15466,                0.81777,                0.90788,                0.94292,              0.0053608,              0.0053608,              0.0053608
                     51,                 1.0724,                 1.2109,                0.99674,                0.95753,                0.17451,                0.19544,                0.15429,                0.82772,                0.89691,                 0.9457,              0.0052055,              0.0052055,              0.0052055
                     52,                 1.0521,                 1.1858,                0.99243,                0.95765,                0.17556,                0.20001,                0.15796,                0.80812,                0.88447,                0.94075,                0.00505,                0.00505,                0.00505
                     53,                 1.0524,                 1.2683,                 0.9847,                0.95753,                0.17637,                0.20118,                0.15769,                0.79975,                0.88632,                0.93616,              0.0048945,              0.0048945,              0.0048945
                     54,                  1.068,                 1.2315,                 1.0005,                0.95731,                  0.176,                0.20284,                0.15982,                0.79465,                0.89777,                0.93613,              0.0047392,              0.0047392,              0.0047392
                     55,                 1.0404,                 1.1864,                0.97846,                0.95628,                 0.1763,                 0.1997,                 0.1592,                  0.793,                0.89292,                  0.934,              0.0045842,              0.0045842,              0.0045842
                     56,                 1.0397,                 1.2177,                 0.9732,                0.95627,                0.17662,                 0.1988,                0.15813,                0.79654,                0.89547,                0.93414,              0.0044296,              0.0044296,              0.0044296
                     57,                 1.0032,                 1.1627,                0.96557,                0.95573,                 0.1766,                0.20011,                0.15835,                0.79284,                 0.8882,                  0.934,              0.0042756,              0.0042756,              0.0042756
                     58,                 1.0338,                 1.2361,                0.98735,                0.95688,                0.17533,                0.20098,                0.15843,                0.79236,                0.88675,                0.93317,              0.0041225,              0.0041225,              0.0041225
                     59,                 1.0313,                 1.2007,                0.98821,                0.95595,                0.17598,                0.20472,                0.16056,                0.78877,                0.88674,                0.93127,              0.0039702,              0.0039702,              0.0039702
                     60,                0.99295,                 1.2374,                0.97169,                0.95647,                0.17494,                0.20464,                0.16039,                0.78866,                0.88479,                0.93151,               0.003819,               0.003819,               0.003819
                     61,                0.98205,                 1.1399,                0.97231,                 0.9573,                0.17485,                0.20276,                0.16081,                0.78236,                0.88157,                0.92995,               0.003669,               0.003669,               0.003669
                     62,                0.97481,                 1.1209,                0.97194,                0.95726,                0.17484,                0.20274,                  0.162,                0.77835,                0.88256,                0.92875,              0.0035204,              0.0035204,              0.0035204
                     63,                0.97901,                 1.1058,                0.96442,                 0.9589,                0.17392,                0.20238,                0.16117,                0.77968,                0.87758,                0.92936,              0.0033732,              0.0033732,              0.0033732
                     64,                0.91733,                 1.0678,                0.95065,                0.95881,                0.17426,                0.20078,                0.16109,                0.78012,                0.87852,                0.92979,              0.0032278,              0.0032278,              0.0032278
                     65,                 0.9675,                 1.1879,                0.95592,                0.95964,                0.17411,                 0.1983,                0.16006,                0.77919,                 0.8773,                0.93016,              0.0030841,              0.0030841,              0.0030841
                     66,                0.94149,                 1.0738,                0.95648,                0.95496,                0.17787,                0.19712,                0.16049,                0.77592,                0.87633,                0.92934,              0.0029424,              0.0029424,              0.0029424
                     67,                0.98053,                 1.1955,                0.97064,                0.95915,                0.17407,                0.19713,                0.16089,                0.77246,                0.87382,                 0.9285,              0.0028027,              0.0028027,              0.0028027
                     68,                0.95677,                 1.1117,                0.95563,                0.95917,                0.17477,                0.19932,                0.16203,                0.77366,                0.87532,                0.92861,              0.0026653,              0.0026653,              0.0026653
                     69,                0.95867,                  1.171,                 0.9597,                 0.9602,                 0.1744,                0.20004,                0.16214,                0.77556,                  0.879,                  0.929,              0.0025302,              0.0025302,              0.0025302
