                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3296,                 1.3998,                 2.3527,                 1.7017,                0.38358,                 0.3951,                0.32967,                0.24564,                0.38643,                0.42527,                 0.3311,                0.27644,                 1.1869,                0.90436,                 2.1791,                 1.6455,             0.00049284,             0.00049284,             0.00049284
                     25,                 1.3424,                 1.3869,                 2.2888,                 1.6807,                0.32797,                0.48185,                0.39851,                0.29537,                0.22187,                0.48988,                0.37041,                0.31961,                 1.1156,                0.86633,                 2.0236,                 1.5965,             0.00048723,             0.00048723,             0.00048723
                     26,                 1.2781,                 1.3562,                 2.2702,                 1.6321,                0.21971,                 0.4423,                0.36861,                0.28977,                0.21409,                 0.4855,                0.37043,                0.31002,                 1.0527,                0.97171,                 2.0071,                  1.503,             0.00048141,             0.00048141,             0.00048141
                     27,                 1.2834,                 1.4927,                 2.1494,                 1.6249,                0.22358,                0.53811,                0.34482,                0.25262,                 0.2133,                0.57324,                0.33325,                0.28415,                 1.0449,                0.90289,                 1.9548,                 1.5204,             0.00047539,             0.00047539,             0.00047539
                     28,                 1.2842,                  1.362,                 2.2039,                 1.6365,                0.41902,                 0.4686,                0.36547,                0.26494,                0.40108,                0.45273,                0.35302,                0.29356,                 1.2132,                0.95596,                 1.9716,                 1.5798,             0.00046918,             0.00046918,             0.00046918
                     29,                 1.2171,                 1.2293,                  2.101,                  1.536,                0.21002,                  0.553,                0.37043,                0.28712,                 0.2069,                0.53713,                0.35123,                0.30594,                0.96215,                0.88117,                 1.8593,                 1.4692,             0.00046279,             0.00046279,             0.00046279
                     30,                 1.2116,                 1.3555,                 2.0783,                 1.5325,                0.27547,                0.49745,                 0.3685,                0.28511,                 0.3142,                0.47504,                 0.3709,                0.29904,                0.96959,                 1.0291,                 1.9295,                 1.4431,             0.00045621,             0.00045621,             0.00045621
                     31,                 1.1662,                 1.3058,                 2.0415,                 1.5108,                 0.2691,                0.44109,                 0.4207,                0.33726,                0.25014,                 0.5313,                0.41106,                0.36398,                0.92513,                0.82521,                 1.9157,                 1.4331,             0.00044946,             0.00044946,             0.00044946
                     32,                 1.1896,                  1.382,                 2.0309,                 1.5007,                0.24597,                0.61111,                0.42688,                0.32916,                0.24597,                0.61111,                0.42688,                0.34941,                  0.967,                0.93403,                 1.9807,                 1.3612,             0.00044255,             0.00044255,             0.00044255
                     33,                 1.2022,                 1.2933,                 2.0837,                 1.5187,                0.37029,                0.40223,                0.37389,                0.29191,                0.37029,                0.40223,                0.37411,                0.30915,                0.92569,                0.90739,                 1.9964,                 1.3866,             0.00043548,             0.00043548,             0.00043548
                     34,                 1.1751,                 1.3067,                 2.0292,                 1.5058,                0.24105,                   0.57,                0.40363,                0.30563,                0.24105,                   0.57,                0.40363,                0.32645,                0.99144,                 0.8831,                 1.9323,                 1.3872,             0.00042825,             0.00042825,             0.00042825
                     35,                 1.1379,                 1.2884,                 1.9625,                 1.4669,                0.24023,                0.55183,                0.41829,                0.33916,                0.24588,                0.57405,                0.41917,                0.36155,                 0.9194,                0.79097,                 1.8163,                 1.3731,             0.00042088,             0.00042088,             0.00042088
                     36,                 1.1157,                 1.2577,                 1.9502,                 1.4517,                0.34292,                0.49906,                0.43689,                0.34651,                0.34292,                0.49906,                0.43729,                0.38449,                0.90228,                0.76192,                 1.7418,                 1.3289,             0.00041337,             0.00041337,             0.00041337
                     37,                 1.1159,                 1.2692,                 1.9912,                 1.4436,                0.40365,                0.53684,                0.42937,                0.35058,                0.40365,                0.53684,                0.42937,                0.36889,                0.84336,                0.73509,                 1.8714,                 1.2892,             0.00040573,             0.00040573,             0.00040573
                     38,                 1.0584,                 1.1894,                 1.8894,                 1.3953,                0.27224,                0.61795,                0.40186,                0.32691,                0.27915,                0.64018,                0.40371,                0.34902,                0.91181,                0.87702,                 1.8871,                 1.3524,             0.00039796,             0.00039796,             0.00039796
                     39,                 1.0514,                 1.2106,                 1.8732,                 1.3916,                0.30805,                0.62656,                0.42036,                0.33484,                0.30805,                0.62656,                0.41978,                0.35015,                0.81622,                0.81994,                 1.8497,                 1.3165,             0.00039008,             0.00039008,             0.00039008
                     40,                  1.086,                 1.2848,                 1.9082,                 1.3975,                 0.3002,                0.36802,                0.39492,                0.31854,                 0.3002,                0.36802,                0.39393,                0.34208,                0.81815,                0.79672,                  1.763,                  1.274,              0.0003821,              0.0003821,              0.0003821
                     41,                 1.0134,                  1.116,                 1.8222,                 1.3377,                0.33288,                0.53119,                0.42569,                0.34311,                 0.3386,                0.54962,                 0.4248,                0.36924,                0.78653,                0.74033,                 1.6848,                 1.2522,             0.00037401,             0.00037401,             0.00037401
                     42,                0.99643,                 1.1523,                 1.8091,                 1.3436,                0.37801,                0.59397,                0.45411,                0.36314,                 0.3861,                0.60808,                0.45794,                0.38283,                0.83741,                 0.7662,                 1.6929,                 1.2943,             0.00036583,             0.00036583,             0.00036583
                     43,                 1.0451,                 1.1869,                 1.8052,                  1.364,                0.38167,                0.62781,                0.48073,                 0.4098,                0.38167,                0.62781,                0.47558,                0.40748,                0.75169,                0.96356,                 1.6633,                 1.2104,             0.00035756,             0.00035756,             0.00035756
                     44,                0.97798,                  1.127,                 1.7829,                 1.3248,                0.48639,                0.43919,                0.48337,                0.41228,                0.45213,                0.44774,                 0.4816,                0.41015,                0.69172,                0.78625,                 1.6693,                 1.1683,             0.00034922,             0.00034922,             0.00034922
                     45,                0.97579,                 1.1848,                 1.7598,                 1.3332,                0.33795,                0.73004,                0.48073,                0.39199,                 0.3169,                0.71675,                0.46188,                 0.4006,                0.77445,                 0.7089,                 1.6086,                  1.229,             0.00034082,             0.00034082,             0.00034082
                     46,                 1.0199,                 1.2286,                 1.7727,                 1.3419,                0.46108,                0.37503,                0.43726,                0.36203,                0.26396,                0.70695,                0.43955,                0.37663,                0.81246,                0.76805,                 1.6406,                  1.235,             0.00033235,             0.00033235,             0.00033235
                     47,                 0.9874,                 1.1129,                 1.7344,                 1.3081,                0.42704,                 0.5846,                0.47196,                0.39367,                0.42704,                 0.5846,                0.47211,                0.40407,                0.77979,                0.71602,                 1.5627,                 1.2248,             0.00032383,             0.00032383,             0.00032383
                     48,                0.95705,                  1.086,                 1.7391,                 1.2948,                0.36011,                 0.4743,                0.45059,                0.37205,                0.36011,                 0.4743,                0.45602,                0.40335,                0.76685,                0.69815,                 1.7175,                 1.1887,             0.00031527,             0.00031527,             0.00031527
                     49,                0.99143,                 1.1037,                 1.7496,                 1.3407,                0.37105,                 0.6597,                0.50726,                0.43138,                0.37105,                 0.6597,                0.50861,                0.43982,                0.71576,                0.77751,                 1.5466,                  1.177,             0.00030668,             0.00030668,             0.00030668
                     50,                 0.9575,                 1.0611,                 1.7212,                 1.2841,                0.36423,                0.69373,                0.50185,                 0.4101,                0.35175,                 0.6909,                0.49634,                0.43042,                0.81088,                0.73928,                 1.5865,                 1.2691,             0.00029806,             0.00029806,             0.00029806
                     51,                0.95699,                 1.1073,                 1.6677,                 1.2931,                0.38873,                0.55023,                0.49178,                0.42078,                0.38873,                0.55023,                 0.4924,                0.43178,                0.70817,                0.66761,                 1.5286,                 1.1675,             0.00028942,             0.00028942,             0.00028942
                     52,                0.90704,                 1.0305,                 1.6451,                 1.2537,                0.36939,                0.53512,                0.51949,                 0.4372,                0.36939,                0.53512,                0.51644,                0.44838,                0.72682,                0.71339,                 1.5018,                 1.1805,             0.00028078,             0.00028078,             0.00028078
                     53,                 0.9194,                 1.1193,                 1.6362,                 1.2682,                0.39522,                0.58552,                0.51925,                  0.437,                0.40119,                0.59989,                0.52252,                0.45153,                0.74782,                0.69804,                 1.4309,                 1.1782,             0.00027214,             0.00027214,             0.00027214
                     54,                0.93578,                 1.1565,                 1.6311,                 1.2704,                0.37051,                0.69213,                0.48083,                 0.3948,                0.37013,                0.68447,                0.48125,                0.42267,                0.78374,                0.70364,                 1.4537,                 1.1642,              0.0002635,              0.0002635,              0.0002635
                     55,                0.89209,                 1.0204,                 1.6051,                 1.2566,                0.51158,                0.46499,                0.50089,                0.43049,                0.51158,                0.46499,                0.50079,                0.44819,                0.70255,                0.70151,                 1.5209,                 1.1472,             0.00025488,             0.00025488,             0.00025488
                     56,                0.87795,                 1.0685,                 1.5566,                 1.2181,                0.42406,                0.59816,                0.51737,                0.44283,                0.42406,                0.59816,                0.51535,                0.45722,                0.73511,                0.67933,                 1.4822,                 1.1469,             0.00024629,             0.00024629,             0.00024629
                     57,                0.90316,                0.99988,                 1.5853,                  1.244,                0.44011,                0.55112,                0.53215,                0.44903,                0.44011,                0.55112,                0.53234,                0.45777,                0.71056,                0.67002,                 1.4329,                 1.1749,             0.00023773,             0.00023773,             0.00023773
                     58,                0.90073,                 1.1376,                 1.5984,                  1.268,                0.41311,                0.57343,                0.48419,                0.41759,                0.41311,                0.57343,                0.48322,                0.43531,                0.67928,                0.70559,                 1.4821,                 1.1227,             0.00022921,             0.00022921,             0.00022921
                     59,                0.88355,                 1.0176,                 1.5515,                 1.2246,                0.36412,                0.63698,                0.54306,                0.47023,                0.36412,                0.63698,                0.54306,                0.47474,                0.68684,                0.66536,                 1.3693,                 1.1512,             0.00022074,             0.00022074,             0.00022074
                     60,                0.87166,                 1.0869,                 1.5465,                 1.2263,                0.38238,                0.60457,                 0.5954,                0.51804,                0.38238,                0.60457,                 0.5954,                 0.5417,                0.64171,                0.68726,                 1.3508,                 1.1228,             0.00021234,             0.00021234,             0.00021234
                     61,                0.88647,                0.98561,                 1.5404,                 1.2473,                0.47102,                0.61456,                0.54509,                0.46456,                0.47102,                0.61456,                0.54292,                0.47545,                0.65632,                0.66487,                 1.3413,                 1.1387,               0.000204,               0.000204,               0.000204
                     62,                0.86505,                 1.0579,                 1.5512,                 1.2353,                0.39669,                0.66768,                0.52429,                0.45558,                0.39865,                0.66134,                0.52468,                 0.4676,                  0.689,                0.67769,                 1.4615,                 1.1556,             0.00019573,             0.00019573,             0.00019573
                     63,                0.84126,                 1.0199,                 1.5157,                 1.2063,                0.35488,                 0.6855,                0.55859,                0.49009,                0.35488,                 0.6855,                0.55883,                 0.5022,                0.63772,                 0.6411,                 1.3581,                  1.093,             0.00018755,             0.00018755,             0.00018755
                     64,                0.86185,                 1.0879,                 1.5096,                 1.2094,                0.37183,                0.63452,                0.52225,                0.44887,                0.37183,                0.63452,                0.52289,                 0.4587,                0.65917,                0.65899,                 1.3188,                 1.1192,             0.00017946,             0.00017946,             0.00017946
                     65,                0.86197,                 1.0159,                 1.4684,                 1.2158,                0.46319,                0.63949,                0.51781,                0.44388,                0.46319,                0.63949,                0.51648,                0.44573,                0.65872,                0.67362,                 1.2624,                 1.1274,             0.00017148,             0.00017148,             0.00017148
                     66,                0.88513,                 1.0929,                 1.4896,                 1.2187,                0.54758,                0.49212,                0.58988,                0.51234,                0.54758,                0.49212,                0.58724,                0.53377,                0.63052,                0.63019,                 1.2747,                 1.0899,              0.0001636,              0.0001636,              0.0001636
                     67,                0.82395,                 1.0112,                 1.4733,                 1.1816,                0.44713,                0.66668,                0.56291,                0.49204,                0.44713,                0.66668,                0.56291,                0.50965,                0.64392,                0.61669,                 1.2423,                 1.1002,             0.00015583,             0.00015583,             0.00015583
