                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0806,                 9.2611,                  3.227,                0.77047,                0.07778,                0.06727,                 0.0464,                 1.5047,                 2.7997,                 1.8687,              0.0033248,              0.0033248,              0.0033248
                      2,                 1.3104,                 3.5505,                 1.4076,                0.51089,                0.16008,                0.18882,                0.15508,                 0.9689,                 1.1814,                 1.2216,              0.0066577,              0.0066577,              0.0066577
                      3,                 1.1018,                 2.2735,                 1.1894,                0.66391,                0.18049,                0.19173,                0.14808,                 1.0795,                 1.3886,                 1.1884,               0.009989,               0.009989,               0.009989
                      4,                0.95054,                 1.3076,                 1.0729,                 0.9851,                0.17752,                0.21626,                0.17366,                0.84323,                  1.077,                 1.0393,              0.0099945,              0.0099945,              0.0099945
                      5,                0.81978,                0.95057,                 1.0008,                0.99218,                0.18891,                0.23208,                0.20008,                0.61746,                0.77283,                0.92332,              0.0099945,              0.0099945,              0.0099945
                      6,                0.75932,                0.84996,                0.97088,                0.99565,                0.19003,                0.23733,                0.20399,                0.64698,                0.78545,                0.92297,              0.0099902,              0.0099902,              0.0099902
                      7,                0.70477,                0.78027,                0.94658,                0.99248,                0.19397,                0.23885,                0.20759,                0.59331,                0.76825,                0.90425,              0.0099847,              0.0099847,              0.0099847
                      8,                0.67701,                0.75146,                0.93316,                0.99411,                0.19827,                0.24049,                0.21326,                0.56573,                0.75736,                0.89714,               0.009978,               0.009978,               0.009978
                      9,                0.65321,                0.72143,                0.92093,                0.99484,                0.19507,                0.23986,                0.21412,                0.53864,                0.67392,                 0.8792,              0.0099701,              0.0099701,              0.0099701
                     10,                0.64055,                0.70537,                0.91943,                0.99489,                0.19898,                0.24676,                 0.2208,                0.52164,                0.67398,                0.87895,               0.009961,               0.009961,               0.009961
                     11,                0.62356,                0.69437,                0.91097,                0.99561,                0.20104,                0.24831,                 0.2209,                0.52905,                0.67954,                0.87725,              0.0099506,              0.0099506,              0.0099506
